Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index
2017-05-04,20.496000289916992,20.51799964904785,19.384000778198242,19.69733238220215,19.69733238220215,212280000,0.02,-0.06,-0.36,0.003,20.73466682434082,-0.0500289901413282,20.471299839019775,18.64722671508789,20.54318960926396,20.004999085823556,0.5381905234404023,47.33929676995954,0.143601
2017-05-05,19.866666793823242,20.56999969482422,19.786666870117188,20.55666732788086,20.55666732788086,122659500,0.46,0.07,0.0,0.003,19.69733238220215,0.04362697085089437,20.503466510772704,18.717040061950684,20.54526310443579,20.045863400050024,0.4993997043857661,55.05976012424706,0.13702
2017-05-08,20.726667404174805,20.91933250427246,20.38800048828125,20.479333877563477,20.479333877563477,105097500,-0.04,-0.25,0.26,0.003,20.55666732788086,-0.003761964382840209,20.518966579437254,18.783960075378417,20.535120146455434,20.07797232431028,0.4571478221451528,54.28840671244432,0.117457
2017-05-09,20.625333786010742,21.465999603271484,20.606666564941406,21.417333602905273,21.417333602905273,145147500,-0.05,0.5,-0.81,0.003,20.479333877563477,0.04580225758072338,20.548533248901368,18.884000091552736,20.670845293601563,20.17718427087287,0.4936610227286913,61.359434871146654,0.110981
2017-05-10,21.437332153320312,21.700000762939453,21.20800018310547,21.681333541870117,21.681333541870117,86124000,0.2,0.19,0.03,0.003,21.417333602905273,0.012326461540900311,20.603566551208495,18.98430675506592,20.826305024104418,20.288602735391187,0.5377022887132306,63.089992780170334,0.104523
2017-05-11,21.559999465942383,21.733333587646484,21.30666732788086,21.540000915527344,21.540000915527344,71307000,-0.26,-0.39,-0.15,0.003,21.681333541870117,-0.006518631617830959,20.69109992980957,19.0817467880249,20.936104392015636,20.381298896882754,0.5548054951328822,61.50197622946364,0.0980805
2017-05-12,21.698667526245117,21.799999237060547,21.435333251953125,21.65399932861328,21.65399932861328,61824000,-0.18,-0.3,-0.61,0.003,21.540000915527344,0.00529240521079832,20.76046657562256,19.180853424072264,21.046549766876815,20.475573002936866,0.5709767639399494,62.32569851408955,0.0916511
2017-05-15,21.225332260131836,21.34666633605957,20.8353328704834,21.058666229248047,21.058666229248047,114330000,0.53,0.25,0.2,0.003,21.65399932861328,-0.02749298595287984,20.808599853515624,19.266600074768068,21.04841383801085,20.518765093774732,0.5296487442361162,55.63135596536507,0.0724577
2017-05-16,21.172666549682617,21.33733367919922,21.00933265686035,21.134000778198242,21.134000778198242,62287500,-0.03,0.14,-0.09,0.003,21.058666229248047,0.003577365637979691,20.86446657180786,19.354333419799804,21.06158105957814,20.56433810743573,0.49724295214240755,56.27142228539204,0.0661381
2017-05-17,20.959333419799805,20.975332260131836,20.366666793823242,20.407333374023438,20.407333374023438,100678500,-1.97,-0.86,-0.6,0.003,21.134000778198242,-0.03438380701321977,20.866433238983156,19.431026763916016,20.9609275694928,20.552708127182967,0.4082194423098322,48.93778687900496,0.0598606
2017-05-18,20.46666717529297,20.929332733154297,20.354000091552734,20.87066650390625,20.87066650390625,84807000,0.4,0.05,-0.39,0.003,20.407333374023438,0.02270424662501916,20.901599884033203,19.519280090332032,20.947041251710253,20.57626059953284,0.3707806521774124,53.13199741228151,0.0536227
2017-05-19,21.03333282470703,21.100000381469727,20.68000030517578,20.722000122070312,20.722000122070312,70314000,0.7,-0.37,0.4,0.003,20.87066650390625,-0.007123221570720438,20.919033241271972,19.607186737060548,20.912419539457954,20.5870561197208,0.32536341973715466,51.66558527474781,0.0474221
2017-05-22,20.85333251953125,20.95800018310547,20.453332901000977,20.690000534057617,20.690000534057617,64938000,0.56,0.28,-0.3,0.003,20.722000122070312,-0.001544232594546393,20.92676658630371,19.69606674194336,20.878201230934827,20.594681631893895,0.2835195990409325,51.33715138120041,0.0296953
